n,iterations,time
500,100,0.001477
1000,100,0.002838
1500,100,0.003706
2000,100,0.00564
2500,100,0.009359
3000,100,0.012069
3500,100,0.008849
4000,100,0.009694
4500,100,0.014608
5000,100,0.01319
5500,100,0.015508
6000,100,0.018539
6500,100,0.027097
7000,100,0.018449
7500,100,0.018942
8000,100,0.027478
8500,100,0.021215
9000,100,0.027569
9500,100,0.023959
10000,100,0.025641
