n,iterations,time
500,100,0.001712
1000,100,0.003146
1500,100,0.004773
2000,100,0.005877
2500,100,0.00757
3000,100,0.009314
3500,100,0.01121
4000,100,0.010556
4500,100,0.024548
5000,100,0.016351
5500,100,0.033032
6000,100,0.020211
6500,100,0.022951
7000,100,0.020976
7500,100,0.028896
8000,100,0.043181
8500,100,0.033619
9000,100,0.029938
9500,100,0.029383
10000,100,0.037833
