n,iterations,time
500,1000,0.123907
1000,1000,0.249468
1500,1000,0.40643
2000,1000,0.547604
2500,1000,0.727843
3000,1000,0.934279
3500,1000,1.179161
4000,1000,1.408073
4500,1000,1.721028
5000,1000,2.058075
5500,1000,2.451663
6000,1000,2.877766
6500,1000,3.357923
7000,1000,3.870961
7500,1000,4.512673
8000,1000,5.033395
8500,1000,5.641013
9000,1000,6.316422
9500,1000,7.051834
10000,1000,7.788883
10500,1000,8.598495
